"","5.10. РАСПРЕДЕЛЕНИЕ ЧИСЛЕННОСТИ БЕЗРАБОТНЫХ в возрасте 15-72 лет,","","","",""
"","ИМЕЮЩИХ ОПЫТ РАБОТЫ, ПО ПРОДОЛЖИТЕЛЬНОСТИ НЕЗАНЯТОСТИ1)","","","",""
"","","","(в процентах к итогу)","",""
"Годы","Безработные –","","В том числе ищут работу","",""
"","всего","","","",""
"","","до 3 месяцев","от 3  до 6 месяцев","от 6  до 12 месяцев","более года"
"2014","100","14,9","11,8","15,6","57,7"
"2015","100","20,8","13,3","16,0","49,9"
"2016","100","22,9","10,5","18,0","48,6"
"2017","100","21,1","11,2","16,2","51,5"
"2018","100","19,7","11,2","19,0","50,1"
