"","5.12. ТРУДОУСТРОЙСТВО НАСЕЛЕНИЯ ГОСУДАРСТВЕННЫМИ","","","","","","","","",""
"","УЧРЕЖДЕНИЯМИ СЛУЖБЫ ЗАНЯТОСТИ1)","","","","","","","","",""
"","","Обратилось по вопросу","","","","","","Трудоустроены","",""
"","","","трудоустройства","","","","","","",""
"","2014","2015","2016","2017","2018","2014","2015","2016","2017","2018"
"","","","","","Тысяч человек","","","","",""
"Численность граждан, ищущих","","","","","","","","","",""
"работу","96,9","98,7","85,7","83,9","82,9","71,2","72,4","63,4","62,5","62,1"
"в том числе:","","","","","","","","","",""
"не занятые трудовой деятельностью","81,4","79,3","71,4","70,9","70,1","56,4","53,7","49,8","50,5","50,4"
"занятые трудовой деятельностью","15,5","19,4","14,3","13,0","12,8","14,8","18,7","13,6","12,0","11,7"
"","","","","","В процентах к итогу","","","","",""
"Численность граждан, ищущих","","","","","","","","","",""
"работу","100","100","100","100","100","100","100","100","100","100"
"в том числе:","","","","","","","","","",""
"не занятые трудовой деятельностью","84,0","80,3","83,3","84,5","84,6","79,2","74,2","78,5","80,8","81,2"
"занятые трудовой деятельностью","16,0","19,7","16,7","15,5","15,4","20,8","25,8","21,5","19,2","18,8"
