"","5.15. УДЕЛЬНЫЙ ВЕС ЧИСЛЕННОСТИ РАБОТНИКОВ, ЗАНЯТЫХ","",""
"","ВО ВРЕДНЫХ И ОПАСНЫХ УСЛОВИЯХ ТРУДА, В ГОСУДАРСТВЕННЫХ","",""
"","И НЕГОСУДАРСТВЕННЫХ ОРГАНИЗАЦИЯХ 2018 г.1)","",""
"","(на конец года; в процентах от общей численности работников","",""
"","соответствующего вида экономической деятельности)","",""
"","Государственная","Частная","Другие формы"
"","собственность","собственность","собственности"
"Сельское хозяйство, лесное хозяйство,  охота,","","",""
"рыболовство и рыбоводство","26,5","45,6","12,9"
"Добыча полезных ископаемых","69,7","54,7","48,8"
"Обрабатывающие производства","40,3","44,0","47,6"
"Обеспечение электрической энергией, газом и па-","","",""
"ром; кондиционирование воздуха","43,3","44,8","63,0"
"Водоснабжение; водоотведение, организация сбо-","","",""
"ра и утилизации отходов, деятельность по ликви-","","",""
"дации загрязнений","44,8","29,7","34,6"
"Строительство","51,4","52,5","44,3"
"Транспортировка и хранение","57,9","41,4","16,5"
"Деятельность в области информатизации и связи","0,5","1,9","1,4"
