"","5.17. УДЕЛЬНЫЙ ВЕС ЧИСЛЕННОСТИ РАБОТНИКОВ,","","","","","","",""
"","ИМЕЮЩИХ ПРАВО НА КОМПЕНСАЦИИ ЗА РАБОТУ","","","","","","",""
"","ВО ВРЕДНЫХ И ОПАСНЫХ УСЛОВИЯХ ТРУДА в 2018 г.","","","","","","",""
"","(на конец года; в процентах от общей численности работников","","","","","","",""
"","","соответствующего вида экономической деятельности)","","","","","",""
"","Сель-","Добыча","Обраба-","Обеспе-","Водо-","Строи-","Транспор-","Деятель-"
"","ское","полезных","тываю-","чение","снабже-","тельство","тировка и","ность в"
"","хозяйст-","ископае-","щие про-","электри-","ние; во-","","хранение","области"
"","во, лес-","мых","изводства","ческой","доотве-","","","информа-"
"","ное хо-","","","энергией,","дение,","","","тизации и"
"","зяйство,","","","газом и","организа-","","","связи"
"","охота,","","","паром;","ция сбора","","",""
"","рыбо-","","","конди-","и утили-","","",""
"","ловство","","","циониро-","зации от-","","",""
"","и рыбо-","","","вание","ходов,","","",""
"","водство","","","воздуха","деятель-","","",""
"","","","","","ность по","","",""
"","","","","","ликвида-","","",""
"","","","","","ции за-","","",""
"","","","","","грязне-","","",""
"","","","","","ний","","",""
"Численность работни-","","","","","","","",""
"ков, которым установ-","","","","","","","",""
"лен хотя бы один вид","","","","","","","",""
"гарантий и компенса-","","","","","","","",""
"ций1)","48,2","73,9","48,7","50,9","43,6","57,1","39,9","2,8"
"из них имеющих","","","","","","","",""
"право на:","","","","","","","",""
"ежегодный дополни-","","","","","","","",""
"тельный оплачивае-","","","","","","","",""
"мый отпуск","12,8","53,5","22,7","20,5","12,4","22,9","20,5","0,4"
"сокращенную про-","","","","","","","",""
"должительность рабо-","","","","","","","",""
"чего времени","1,9","24,5","4,0","0,6","-","0,1","0,4","-"
"лечебно-профилак-","","","","","","","",""
"тическое питание","0,0","20,0","3,6","0,3","-","-","-","-"
"молоко или другие","","","","","","","",""
"равноценные пищевые","","","","","","","",""
"продукты","4,9","34,5","17,8","19,6","10,3","14,0","3,9","0,0"
"оплату труда в повы-","","","","","","","",""
"шенном размере","19,8","56,5","39,5","29,4","35,2","43,3","33,0","0,8"
"проведение медицин-","","","","","","","",""
"ских осмотров","36,5","59,7","42,5","45,3","26,3","41,6","35,9","2,5"
"досрочное назначение","","","","","","","",""
"трудовой пенсии по","","","","","","","",""
"старости","1,8","54,6","19,6","15,7","4,2","19,3","14,7","0,0"
"Списочная численность","","","","","","","",""
"работников, получаю-","","","","","","","",""
"щих бесплатно спец-","","","","","","","",""
"одежду, спецобувь и","","","","","","","",""
"другие средства инди-","","","","","","","",""
"видуальной защиты","77,2","70,8","84,4","73,2","82,4","73,3","78,1","35,4"
"из нее занятые на ра-","","","","","","","",""
"ботах с вредными и","","","","","","","",""
"(или) опасными усло-","","","","","","","",""
"виями труда","40,6","61,6","44,4","49,5","38,1","50,7","34,1","2,1"
"1)","","","","","","","",""
