"","6.1. ОСНОВНЫЕ СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ИНДИКАТОРЫ","","","",""
"","УРОВНЯ ЖИЗНИ НАСЕЛЕНИЯ","","","",""
"","2014","2015","2016","2017","2018"
"Среднедушевые денежные доходы населения","","","","",""
"(в месяц), рублей","18291","20860","21256","22139","22829"
"Реальные располагаемые денежные доходы","","","","",""
"населения, в процентах к предыдущему году","106,8","101,1","95,2","99,8","98,6"
"Среднемесячная номинальная начисленная за-","","","","",""
"работная плата работников организаций, рублей","19456","20090","21202","22743","25519"
"Реальная начисленная заработная плата, в про-","","","","",""
"центах к предыдущему году","99,9","90,0","98,4","103,6","109,3"
"Средний размер назначенных месячных пен-","","","113791)","",""
"сий, рублей","10063","11073","163792)","12252","12984"
"Реальный размер назначенных месячных пен-","","","97,51)","105,81)",""
"сий, в процентах к предыдущему году","97,7","100,6","140,42)","73,52)","100,8"
"Численность населения с денежными доходами","","","","",""
"ниже величины прожиточного минимума","","","","",""
"тыс. человек","409,6","429,5","423,0","414,0","409,6"
"в процентах от общей численности населения","17,1","18,0","17,8","17,5","17,4"
"в процентах к предыдущему году","97,0","104,9","98,5","97,9","98,9"
"Соотношение с величиной прожиточного ми-","","","","",""
"нимума3), процентов:","","","","",""
"среднедушевых денежных доходов","246,4","237,1","239,3","242,9","243,7"
"среднемесячной номинальной начисленной","","","","",""
"заработной платы","244,8","213,3","223,6","234,3","260,2"
"среднего размера  назначенных месячных","","","","",""
"пенсий (на конец года)","162,9","154,8","231,71)","174,8","162,2"
"Коэффициент фондов (коэффициент диффе-","","","","",""
"ренциации доходов),  в разах","12,2","11,8","11,9","12,1","12,2"
"Коэффициент Джини (индекс  концентрации","","","","",""
"доходов)","0,379","0,374","0,375","0,377","0,378"
