"","6.5. СРЕДНЕМЕСЯЧНАЯ НОМИНАЛЬНАЯ НАЧИСЛЕННАЯ ЗАРАБОТНАЯ ПЛАТА"
"","РАБОТНИКОВ ОРГАНИЗАЦИЙ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ"
"(рублей)",""
"","2018"
"Всего","25519"
"по видам экономической деятельности:",""
"сельское, лесное хозяйство, охота, рыболовство и рыбоводство","20739"
"добыча полезных ископаемых","40696"
"обрабатывающие производства","25669"
"обеспечение электрической энергией, газом и паром; кондиционирование",""
"воздуха","31203"
"водоснабжение; водоотведение, организация сбора и утилизации отходов,",""
"деятельность по ликвидации загрязнений","20145"
"строительство","21162"
"торговля оптовая и розничная; ремонт автотранспортных средств и мото-",""
"циклов","20208"
"транспортировка и хранение","27444"
"деятельность гостиниц и предприятий общественного питания","15391"
"деятельность в области информации и связи","29106"
"деятельность финансовая и страховая","44118"
"деятельность по операциям с недвижимым имуществом","17988"
"деятельность профессиональная, научная и техническая","26001"
"деятельность административная и сопутствующие дополнительные услуги","21178"
"государственное управление и обеспечение военной безопасности;",""
"социальное обеспечение","37319"
"образование","21311"
"деятельность в области здравоохранения и социальных услуг","26434"
"деятельность в области культуры, спорта, организации досуга и",""
"развлечений","21868"
"предоставление прочих видов услуг","19720"
