"","6.6. ОСНОВНЫЕ ПОКАЗАТЕЛИ ПЕНСИОННОГО ОБЕСПЕЧЕНИЯ","","","",""
"","(на 1 января года, следующего за отчетным)","","","",""
"","2014","2015","2016","2017","2018"
"Численность пенсионеров, состоящих на уче-","","","","",""
"те в системе Пенсионного фонда  РФ","","","","",""
"всего, тыс. человек","737,51)","749,6","758,0","762,1","766,2"
"в процентах к предыдущему  году","101,01)","101,6","101,1","100,5","100,5"
"Численность пенсионеров  на 1000 человек","","","","",""
"населения","309,2","315,4","320,4","324,3","328,5"
"Численность занятых в экономике на одного","","","","",""
"пенсионера, человек","1,45","1,43","1,35","1,33","1,34"
"Средний размер назначенных месячных пен-","","","113792)","",""
"сий, рублей","10063","11073","163793)","12252","12984"
"Реальный размер назначенных месячных пен-","","","97,52)","105,82)",""
"сий, в процентах к предыдущему году","97,7","100,6","140,43)","73,53)","100,8"
"Величина прожиточного минимума пенсио-","","","","",""
"нера (на конец периода):","","","","",""
"рублей","6179","7154","7069","7009","8003"
"в процентах к предыдущему году","115,7","115,8","98,8","99,2","114,2"
