"","6.8. РАСХОДЫ НА ВЫПЛАТУ ПОСОБИЙ И СОЦИАЛЬНУЮ ПОМОЩЬ","","","",""
"","2014","2015","2016","2017","2018"
"","","","Тыс. рублей","",""
"Расходы на выплату пособий и социальную","","","","",""
"помощь – всего","34305309","34777657","36361707","35192502","35585041"
"в том числе","","","","",""
"пособия по временной нетрудоспособности","2016846","2218396","2408282","2444915","2807750"
"семейные и материнские пособия","3675674","3861340","4045276","4025513","3984848"
"из них:","","","","",""
"по беременности и родам","854980","933588","965919","903454","943684"
"при рождении ребенка","296336","297966","301371","276996","266676"
"по уходу за ребенком до полутора лет","1365585","1430849","1520954","1530945","1451973"
"по уходу за детьми-инвалидами","6832","11029","12930","12562","17319"
"ежемесячное пособие на ребенка","1151941","1187908","1244102","1301556","1305196"
"социальная помощь гражданам, подвергшимся","","","","",""
"воздействию радиации вследствие катастроф","","","","",""
"на АЭС и других аварий","79620","81448","112881","116040","114332"
"компенсационные выплаты на возмещение ма-","","","","",""
"териального ущерба реабилитированным ли-","","","","",""
"цам и лицам, признанным пострадавшими от","","","","",""
"политических репрессий","14","-","-","-","-"
"пособия и материальная помощь безработным","868105","945088","984339","870630","791075"
"другие виды пособий и социальной помощи","27665050","27671385","28810929","27735404","27887036"
"","","","В процентах","",""
"Расходы на выплату пособий и социальную","","","","",""
"помощь  – всего","100","100","100","100","100"
"в том числе:","","","","",""
"пособия по временной нетрудоспособности","5,9","6,4","6,6","6,9","7,9"
"семейные и материнские пособия","10,8","11,1","11,1","11,5","11,2"
"из них:","","","","",""
"по беременности и родам","2,5","2,7","2,7","2,6","2,7"
"при рождении ребенка","0,9","0,9","0,8","0,8","0,7"
"по уходу за ребенком до полутора лет","4,0","4,1","4,2","4,4","4,1"
"по уходу за детьми-инвалидами","0,0","0,0","0,0","0,0","0,0"
"ежемесячное пособие на ребенка","3,4","3,4","3,4","3,7","3,7"
"социальная помощь гражданам, подвергшимся","","","","",""
"воздействию радиации вследствие катастроф","","","","",""
"на АЭС и других аварий","0,2","0,2","0,3","0,3","0,3"
"компенсационные выплаты на возмещение ма-","","","","",""
"териального ущерба реабилитированным ли-","","","","",""
"цам и лицам, признанным пострадавшими от","","","","",""
"политических репрессий","0,0","-","-","-","-"
"пособия и материальная помощь безработным","2,5","2,7","2,7","2,5","2,2"
"другие виды пособий и социальной помощи","80,6","79,6","79,3","78,8","78,4"
