"","6. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ","","","",""
"","","","","Продолжение табл. 6.16",""
"","2014","2015","2016","2017","2018"
"Капуста белокочанная свежая","830","713","1059","1040","1132"
"Лук репчатый","669","669","933","792","1032"
"Свекла столовая","609","628","705","691","673"
"Морковь","620","564","797","736","747"
"Яблоки","259","226","224","232","230"
"Хлеб и булочные изделия из пшеничной муки","385","399","383","399","419"
"Мука пшеничная","852","843","835","908","1012"
"Горох и фасоль","641","549","476","522","772"
"Рис шлифованный","447","347","375","397","407"
"Крупы","706","604","542","638","782"
"Макаронные изделия","442","428","389","392","439"
"","","Непродовольственные товары, шт. в месяц","","",""
"Костюм-двойка мужской","3,4","3,5","3,1","2,9","3,0"
"Сорочка верхняя мужская","23,1","21,1","17,3","15,7","15,3"
"Брюки мужские","11,2","11,4","10,2","9,9","9,7"
"Юбка женская","12,8","13,4","12,8","12,5","12,9"
"Блузка женская","11,2","11,9","11,3","11,1","11,5"
"Джемпер взрослый","14,4","14,8","13,7","13,4","13,0"
"","","Платные услуги, оказываемые населению,","","",""
"","","","платежей в месяц","",""
"Плата за жилье в домах государственного и муници-","","","","",""
"пального жилищных фондов, за 1 м2 общей площади","1271","1020","1005","1030","993"
"Плата за электроэнергию, за 100 кВт·ч","63","69","66","66","66"
"Плата за горячее водоснабжение,  м3","204","213","190","182","176"
"Плата за водоснабжение холодное и водоотведение, м3","649","655","572","548","545"
"Плата за газ сетевой, платеж","264","285","278","281","281"
"Абонентская плата за неограниченный объем местных","","","","",""
"телефонных соединений","47","52","52","53","51"
"Поездка в городском  автобусе, поездок","1300","1392","1282","1190","1202"
