"","6.17. ПОКУПАТЕЛЬНАЯ СПОСОБНОСТЬ СРЕДНЕМЕСЯЧНОЙ","","","",""
"","НОМИНАЛЬНОЙ НАЧИСЛЕННОЙ ЗАРАБОТНОЙ ПЛАТЫ","","","",""
"","2014","2015","2016","2017","2018"
"","","Продовольственные товары, кг в месяц","","",""
"Говядина (кроме бескостного мяса)","87","73","78","84","92"
"Свинина (кроме бескостного мяса)","82","78","88","96","106"
"Молоко питьевое, л","407","395","407","420","463"
"Творог","92","83","86","85","93"
"Сыры сычужные твердые","66","64","58","57","61"
"Яйца куриные,10 шт.","480","427","444","507","561"
"Рыба свежая (кроме лососевых пород и рыбного филе)","186","155","151","162","164"
"Сахар-песок","526","381","396","524","641"
"Масло подсолнечное","351","267","231","277","315"
"Масло сливочное","74","69","63","52","59"
"Картофель","754","889","1101","969","1115"
"Капуста белокочанная свежая","882","687","1056","1069","1265"
"Лук репчатый","711","645","931","814","1154"
"Свекла столовая","647","604","703","710","752"
"Морковь","659","543","795","756","835"
"Яблоки","275","217","224","239","257"
"Хлеб и булочные изделия из пшеничной муки","409","385","382","410","468"
"Мука пшеничная","907","811","833","933","1132"
"Горох и фасоль","682","528","475","536","863"
"Рис шлифованный","475","334","375","408","455"
