"","6.18. ПОКУПАТЕЛЬНАЯ СПОСОБНОСТЬ","","","",""
"","СРЕДНЕГО РАЗМЕРА НАЗНАЧЕННЫХ МЕСЯЧНЫХ ПЕНСИЙ","","","",""
"","2014","2015","2016","2017","2018"
"","","Продовольственные товары, кг в месяц","","",""
"Говядина (кроме бескостного мяса)","45","40","42","46","44"
"Свинина (кроме бескостного мяса)","42","43","47","53","51"
"Молоко питьевое, л","208","215","218","233","223"
"Творог","47","45","46","47","44"
"Сыры сычужные твердые","34","35","31","31","30"
"Яйца куриные, 10 шт.","245","232","238","281","270"
"Рыба свежая (кроме лососевых пород и рыбного филе)","95","84","81","90","79"
"Сахар-песок","268","208","212","291","308"
"Масло подсолнечное","179","145","124","154","151"
"Масло сливочное","38","38","34","29","28"
"Картофель","384","484","589","537","536"
"Капуста белокочанная свежая","450","374","565","593","608"
"Лук репчатый","363","351","498","452","554"
"Свекла столовая","330","329","376","394","361"
"Морковь","336","296","426","420","401"
"Яблоки","140","118","120","133","123"
"Хлеб и булочные изделия из пшеничной муки","209","209","204","227","225"
"Мука пшеничная","462","442","446","518","544"
"Горох и фасоль","348","288","254","297","415"
"Рис шлифованный","242","182","200","226","219"
"Крупы","383","317","290","363","420"
"Макаронные изделия","240","224","208","224","236"
"","","Непродовольственные товары, шт. в месяц","","",""
"Костюм-двойка мужской","1,8","1,8","1,7","1,7","1,6"
"Сорочка верхняя мужская","12,5","11,0","9,2","9,0","8,2"
"Брюки мужские","6,1","6,0","5,5","5,7","5,2"
"Юбка женская","6,9","7,0","6,8","7,1","6,9"
