"","","Продолжение табл. 6.18"
"","","2014 
2015 
2016 
2017 
2018"
"Блузка женская","","6,1 
6,3 
6,1 
6,3 
6,2"
"Джемпер взрослый","","7,8 
7,7 
7,3 
7,6 
7,0"
"","","Платные услуги, оказываемые населению,"
"","","платежей в месяц"
"","Плата за жилье в домах государственного и муници-",""
"","пального жилищных фондов, за 1 м2 общей площади","689 
535 
537 
587 
534"
"","Плата за электроэнергию, за 100 кВт·ч","34 
36 
35 
38 
35"
"","Плата за горячее водоснабжение, м3","111 
112 
102 
104 
95"
"","Плата за водоснабжение холодное и водоотведение, м3","352 
344 
306 
312 
293"
"Плата за газ сетевой","","143 
150 
148 
160 
151"
"","Абонентская плата за неограниченный",""
"","объем местных телефонных соединений","25 
27 
28 
30 
27"
"","Поездка в городском автобусе, поездок","705 
730 
684 
678 
645"
"","6.19. СТРУКТУРА РАСХОДОВ НА КОНЕЧНОЕ ПОТРЕБЛЕНИЕ ДОМАШНИХ ХОЗЯЙСТВ",""
"","РАЗЛИЧНЫХ СОЦИАЛЬНО-ЭКОНОМИЧЕСКИХ КАТЕГОРИЙ в 2018 г.",""
"","(по материалам выборочного обследования бюджетов домашних хозяйств)",""
"","Расходы","В процентах от общего объема расходов на конечное потребление"
"","на ко-",""
"","расхо-","в том числе 
расхо-
расхо-
расхо-
стои-"
"","нечное",""
"","ды на","ды на 
ды на 
ды на  
мость"
"","","денеж-
стои-
из нее"
"","потреб-",""
"","пита-","непро-
алко-
оплату 
предо-"
"","","ные 
мость"
"","","поступ-
полу-"
"","ление (в",""
"","","ние 
доволь
голь-
услуг 
став-"
"","","расхо-
нату-"
"","","лений 
ченных"
"","среднем",""
"","","ствен-
ные 
лен-"
"","","ды 
раль-"
"","","из лич-
подар-"
"","на одно-",""
"","","ные 
напит-
ных"
"","","на по-
ных"
"","","ного 
ков и"
"","го члена",""
"","","товары 
ки 
рабо-"
"","","купку 
поступ-"
"","","под-
других"
"","домаш-",""
"","","тода-"
"","","про-
лений"
"","","соб-
посту-"
"","него",""
"","","телем"
"","","дуктов 
 про-"
"","","ного  
плений"
"","хозяй-",""
"","","в нату-"
"","","пита-
дуктов"
"","","хозяй-"
"","ства в",""
"","","раль-"
"","","ния 
пита-"
"","","ства"
"","месяц),",""
"","","ном"
"","","ния"
"","рублей",""
"","","выра-"
"","","жении"
"","","льгот"
"Все домашние","",""
"хозяйства","13450","37,6 
31,3 
  6,3 
 5,2 
1,1 
37,4 
1,5 
23,4 
0,1"
"Домашние хозяйства,","",""
"проживающие:","",""
"в городской местности","15231 
  36,1","32,5 
  3,6 
 2,5 
   1,1 
35,5 
1,4 
26,8 
0,2"
"в сельской местности","11143","40,2 
29,1 
 11,1 
 9,9 
1,2 
40,6 
1,7 
17,5 
0,0"
"Домашние хозяйства,","",""
"состоящие:","",""
"из 1 человека","20683","41,1 
36,1 
  5,0 
    3,5 
 1,5 
32,0 
    1,4 
25,2 
0,3"
"из 2 человек","15122","40,9 
34,1 
  6,8 
  6,1 
 0,7 
34,6 
 1,7 
22,8 
0,0"
"из 3 человек","14283","31,3 
25,7 
  5,6 
  4,4 
 1,2 
43,7 
 1,4 
23,4 
0,2"
"из 4  и более человек","9464","39,0 
31,6 
  7,4 
  6,1 
 1,3 
36,3 
 1,5 
23,1 
0,1"
"Домашние хозяйства,","",""
"имеющие детей в воз-","",""
"расте до 16 лет:","10937","34,7 
28,3 
   6,4 
   5,1 
  1,3 
40,1 
 1,4 
23,7 
0,1"
"1 ребенка","13081","31,6 
26,6 
   5,0 
   4,0 
   1,0 
42,2 
 1,5 
24,7 
0,0"
"2  и более детей","8597","40,0 
31,1 
   8,9 
   7,0 
   1,9 
36,6 
1,1 
22,1 
0,2"
