"","6.26. ОСНОВНЫЕ ПОКАЗАТЕЛИ ЖИЛИЩНЫХ УСЛОВИЙ НАСЕЛЕНИЯ","","","",""
"","2014","2015","2016","2017","2018"
"Общая площадь жилых помещений, приходящая-","","","","",""
"ся в среднем на одного жителя (на конец года) –","","","","",""
"всего, м
2","22,7","23,1","23,5","23,8","24,3"
"в том числе:","","","","",""
"в городской местности","21,3","21,7","22,2","22,6","23,0"
"в сельской местности","24,5","24,8","25,1","25,5","26,0"
"Число квартир – всего","1035968","1049099","1059449","1068191","1072033"
"в том числе:","","","","",""
"однокомнатных","221962","227856","232312","236262","240170"
"двухкомнатных","358152","362225","366720","369418","370812"
"трехкомнатных","381025","383332","384016","385464","383932"
"четырехкомнатных и более","74829","75686","76401","77047","77119"
"Средний размер одной квартиры, м2  общей","","","","",""
"площади жилых помещений","51,7","51,7","51,8","51,9","52,2"
"однокомнатной","30,5","30,6","30,6","30,6","30,9"
"двухкомнатной","45,0","45,2","45,3","45,4","45,9"
"трехкомнатной","61,3","61,4","61,7","61,9","62,3"
