"","","","","","","Продолжение табл. 6.26"
"","2014","2015","","2016","2017","2018"
"четырехкомнатной и более","97,0","97,4","","97,8","98,3","98,9"
"Удельный вес числа семей, состоящих  на учете","","","","","",""
"в качестве нуждающихся в жилых помещениях,","","","","","",""
"в общем числе семей (на конец года), процентов","5,8","5,7","","5,3","4,9","4,4"
"Капитально отремонтировано  помещений в","","","","","",""
"квартирах жилых домов за год, тыс. м
2 общей","","","","","",""
"площади","0,7","1,7","","3,5","5,9","0,9"
"Приватизировано жилых помещений  (с начала","","","","","",""
"приватизации, по состоянию на конец года):","","","","","",""
"всего","521504","524165","","525303","526061","526526"
"в процентах от общего числа жилых помещений,","","","","","",""
"подлежащих приватизации","91,5","91,7","","90,4","90,4","90,4"
"","6.27. ЖИЛИЩНЫЙ ФОНД КРАЯ","","","","",""
"","(на конец года; общая площадь жилых помещений; тысяч  квадратных метров)","","","","",""
"","2014","2015","","2016","2017","2018"
"Жилищный фонд –  всего","54106","54857","","55500","56013","56640"
"из него в собственности граждан","50636","51439","","52120","52702","53365"
"в среднем на 1 жителя,  м2","22,7","23,1","","23,5","23,8","24,3"
"Городской жилищный фонд –  всего","28421","29025","","29546","29936","30423"
"из него в собственности граждан","25990","26635","","27178","27587","28065"
"в среднем на 1 жителя, м2","21,3","21,7","","22,2","22,6","23,0"
"Сельский жилищный фонд –  всего","25685","25832","","25954","26077","26217"
"из него в собственности граждан","24645","24804","","24943","25115","25300"
"в среднем на 1 жителя, м2","24,5","24,8","","25,1","25,5","26,0"
"","6.28. ВЕТХИЙ И АВАРИЙНЫЙ ЖИЛИЩНЫЙ ФОНД1)","","","","",""
"","(на конец года; общая площадь жилых помещений)","","","","",""
"","2014","","2015","","2016","2017"
"Весь ветхий и аварийный жилищный фонд,","","","","","",""
"тыс. м2","1204,2","","932,8","","973,6","896,5"
"в том числе:","","","","","",""
"ветхий","937,7","","932,8","","973,6","896,5"
"аварийный","266,5","","…","","…","…"
"Удельный вес ветхого и аварийного жилищно-","","","","","",""
"го фонда в общей площади всего жилищного","","","","","",""
"фонда, процентов","2,2","","1,7","","1,8","1,6"
