"","6.32. ОСНОВНЫЕ ПОКАЗАТЕЛИ РЕГИСТРАЦИИ ПРАВ НА ЖИЛЫЕ ПОМЕЩЕНИЯ","","","",""
"","2014","2015","2016","2017","2018"
"Число зарегистрированных прав на жилые","","","","",""
"помещения на основании договоров купли-","","","","",""
"продажи – всего","426","68449","64483","56284","64763"
"в том числе:","","","","",""
"населению (гражданам)","415","67612","63798","55720","64196"
"организациям","2","265","313","318","254"
"нерезидентам российской экономики","9","572","372","246","313"
"Общая площадь жилых помещений, на кото-","","","","",""
"рые зарегистрированы права на основании","","","","",""
"договоров купли-продажи – всего, тыс. м2","6,0","1341,6","1452,6","1524,8","1819,2"
"в том числе:","","","","",""
"населению (гражданам)","5,8","1299,4","1416,4","1490,0","1788,9"
"организациям","0,0","20,3","20,4","24,2","16,8"
"нерезидентам российской экономики","0,2","21,9","15,8","10,6","13,5"
"Установленная договорами купли-продажи","","","","",""
"цена жилых помещений, на основании кото-","","","","",""
"рых зарегистрирован переход права собствен-","","","","",""
"ности на них – всего, млн рублей","181,5","46251,1","48258,1","50412,6","55637,9"
"в том числе:","","","","",""
"населению (гражданам)","177,1","44896,5","46994,6","49659,0","54831,4"
"организациям","0,1","628,8","765,5","465,1","464,5"
"нерезидентам российской экономики","4,3","725,8","498,0","288,4","342,0"
"в расчете на один договор, тыс. рублей","425,9","675,7","748,4","895,7","859,1"
"в расчете за один м2 общей площади,","","","","",""
"рублей","30241,8","42379,8","33221,9","33061,8","30583,7"
"Количество зарегистрированных прав на жи-","","","","",""
"лые помещения, приобретенных гражданами","","","","",""
"по иным основаниям (кроме договоров купли-","","","","",""
"продажи)","182185","84423","70564","58647","65549"
"Общая площадь этих жилых помещений,","","","","",""
"тыс. м2","5550,9","3158,2","2686,3","2302,5","2598,3"
"","6.33.  ПРЕДОСТАВЛЕНИЕ ГРАЖДАНАМ СУБСИДИЙ","","","",""
"","НА ОПЛАТУ ЖИЛОГО ПОМЕЩЕНИЯ И КОММУНАЛЬНЫХ УСЛУГ","","","",""
"","2014","2015","2016","2017","2018"
"Число служб субсидий","70","70","69","69","69"
"Получили субсидии за отчетный период, се-","","","","",""
"мей","78826","79677","81808","83981","83604"
"Удельный вес семей, пользующихся  субси-","","","","",""
"диями, в общем числе семей, процентов","8,1","8,2","8,4","8,7","8,6"
"Сумма начисленных субсидий, тыс. рублей","990925,6","1091198,0","1192666,7","1253472,4","1306823,3"
"Фактическое возмещение затрат из бюджетов","","","","",""
"всех уровней (включая задолженность), тыс.","","","","",""
"рублей","990925,6","1091198,0","1192666,7","1253472,4","1306823,3"
"Среднемесячный размер субсидий на семью,","","","","",""
"рублей","1047,6","1141,3","1214,9","1243,8","1302,6"
